938:	3.108945384156E-04
939:	3.111743717454E-04
940:	3.114941355307E-04
941:	3.117677988485E-04
942:	3.120869223494E-04
943:	3.123638161924E-04
944:	3.126567462459E-04
945:	3.129944379907E-04
946:	3.132764541078E-04
947:	3.135544538964E-04
948:	3.138692700304E-04
949:	3.141546039842E-04
950:	3.144718357362E-04
951:	3.147427341901E-04
952:	3.150492848363E-04
953:	3.153582219966E-04
954:	3.156890743412E-04
955:	3.159807820339E-04
956:	3.162921639159E-04
957:	3.165854432154E-04
958:	3.168668772560E-04
959:	3.171632415615E-04
960:	3.174663870595E-04
961:	3.177377802785E-04
962:	3.180873463862E-04
963:	3.183723601978E-04
964:	3.186879039276E-04
965:	3.189660783391E-04
966:	3.192578151356E-04
967:	3.195599419996E-04
968:	3.198633203283E-04
969:	3.201454528607E-04
970:	3.204600070603E-04
971:	3.207584959455E-04
972:	3.210580616724E-04
973:	3.213564050384E-04
974:	3.216604236513E-04
975:	3.219491336495E-04
976:	3.222312661819E-04
977:	3.225346154068E-04
978:	3.228276036680E-04
979:	3.231914888602E-04
980:	3.234730102122E-04
981:	3.237955970690E-04
982:	3.240749356337E-04
983:	3.243935643695E-04
984:	3.246685373597E-04
985:	3.249919391237E-04
986:	3.252783208154E-04
987:	3.255749179516E-04
988:	3.258698270656E-04
989:	3.262206446379E-04
990:	3.264788247179E-04
991:	3.267895081080E-04
992:	3.270954184700E-04
993:	3.273742040619E-04
994:	3.276854695287E-04
995:	3.279659140389E-04
996:	3.282713587396E-04
997:	3.285639104433E-04
998:	3.289084706921E-04
999:	3.291904577054E-04
1000:	3.294799826108E-04
1001:	3.298095543869E-04
1002:	3.300883399788E-04
1003:	3.304090350866E-04
1004:	3.306775179226E-04
1005:	3.309808380436E-04
1006:	3.313031338621E-04
1007:	3.316166694276E-04
1008:	3.319121024106E-04
1009:	3.322200209368E-04
1010:	3.325334400870E-04
1011:	3.328096354380E-04
1012:	3.331179614179E-04
1013:	3.334236971568E-04
1014:	3.337023663335E-04
1015:	3.340237308294E-04
1016:	3.343157295603E-04
1017:	3.346264420543E-04
1018:	3.349533362780E-04
1019:	3.352462954354E-04
1020:	3.355641092639E-04
1021:	3.358355315868E-04
1022:	3.361376584508E-04
1023:	3.364342555869E-04
1024:	3.367181343492E-04
1025:	3.370435442775E-04
1026:	3.373362123966E-04
1027:	3.376723616384E-04
1028:	3.379566769581E-04
1029:	3.382493159734E-04
1030:	3.385602321941E-04
1031:	3.388494951651E-04
1032:	3.391643112991E-04
1033:	3.394984232727E-04
1034:	3.397764812689E-04
1035:	3.400915884413E-04
1036:	3.403968003113E-04
1037:	3.407034382690E-04
1038:	3.410193894524E-04
1039:	3.412979713175E-04
1040:	3.416033578105E-04
1041:	3.419059503358E-04
1042:	3.421955334488E-04
1043:	3.424845926929E-04
1044:	3.428134950809E-04
1045:	3.431193472352E-04
1046:	3.434360551182E-04
1047:	3.437253762968E-04
1048:	3.440307045821E-04
1049:	3.442978777457E-04
1050:	3.446025657468E-04
1051:	3.449343494140E-04
1052:	3.452232340351E-04
1053:	3.455372061580E-04
1054:	3.458132268861E-04
1055:	3.461422165856E-04
1056:	3.464594192337E-04
1057:	3.467771166470E-04
1058:	3.470739757176E-04
1059:	3.473721153568E-04
1060:	3.476680431049E-04
1061:	3.479469742160E-04
1062:	3.482752363198E-04
1063:	3.485797496978E-04
1064:	3.488954971544E-04
1065:	3.492019022815E-04
1066:	3.495170676615E-04
1067:	3.497934958432E-04
1068:	3.501254541334E-04
1069:	3.504110791255E-04
1070:	3.507617220748E-04
